,model_name,epochs,learning_rate,batch_size,activation,loss,optimizer,regularization,train_accuracy,validation_accuracy,bias,variance,training_time
0,D512,100,0.1,512,relu,categorical_crossentropy,SGD,,79.39,77.92,15.61,1.47,14
1,D512,100,0.1,512,relu,categorical_crossentropy,SGD,,79.3,78.04,15.7,1.26,14
2,D512,100,0.1,512,relu,categorical_crossentropy,SGD,,79.44,77.73,15.56,1.71,14
3,D512,100,0.1,512,relu,categorical_crossentropy,SGD,,79.36,78.1,15.64,1.26,14
4,D512,100,0.1,512,relu,categorical_crossentropy,SGD,,79.44,77.92,15.56,1.52,14
5,D512,1000,0.1,512,relu,categorical_crossentropy,SGD,,84.07,81.45,10.93,2.62,186
6,D512,1000,0.1,512,relu,categorical_crossentropy,SGD,,84.03,81.7,10.97,2.33,211
7,D512,1000,0.1,512,relu,categorical_crossentropy,SGD,,84.0,81.33,11.0,2.67,200
8,D512,1000,0.1,512,relu,categorical_crossentropy,SGD,,83.99,81.76,11.01,2.23,199
9,D512,1000,0.1,512,relu,categorical_crossentropy,SGD,,84.05,81.51,10.95,2.54,199
10,D512,400,0.1,512,tanh,categorical_crossentropy,SGD,,79.57,78.54,15.43,1.03,67
11,D512,400,0.1,512,tanh,categorical_crossentropy,SGD,,79.2,77.48,15.8,1.72,72
12,D512,400,0.1,512,tanh,categorical_crossentropy,SGD,,79.79,78.66,15.21,1.13,72
13,D512,400,0.1,512,tanh,categorical_crossentropy,SGD,,79.66,78.1,15.34,1.56,75
14,D512,400,0.1,512,tanh,categorical_crossentropy,SGD,,79.69,78.72,15.31,0.97,75
15,D512,1000,0.1,512,tanh,categorical_crossentropy,SGD,,81.35,80.89,13.65,0.46,191
16,D512,1000,0.1,512,tanh,categorical_crossentropy,SGD,,81.3,80.33,13.7,0.97,186
17,D512,1000,0.1,512,tanh,categorical_crossentropy,SGD,,81.05,80.52,13.95,0.53,190
18,D512,1000,0.1,512,tanh,categorical_crossentropy,SGD,,81.16,80.21,13.84,0.95,189
19,D512,1000,0.1,512,tanh,categorical_crossentropy,SGD,,81.03,79.22,13.97,1.81,192
20,D512,1000,0.1,128,tanh,categorical_crossentropy,SGD,,83.07,81.08,11.93,1.99,523
21,D512,1000,0.1,128,tanh,categorical_crossentropy,SGD,,83.09,80.83,11.91,2.26,481
22,D512,1000,0.1,128,tanh,categorical_crossentropy,SGD,,82.61,80.58,12.39,2.03,546
23,D512,1000,0.1,128,tanh,categorical_crossentropy,SGD,,82.96,80.52,12.04,2.44,503
24,D512,1000,0.1,128,tanh,categorical_crossentropy,SGD,,82.88,81.2,12.12,1.68,533
25,D128_D64_D32,1000,0.1,128,tanh,categorical_crossentropy,SGD,,99.82,74.69,-4.82,25.13,580
